db_table,column,data_type,csv_file_name,mapping_column,sample_data,transformation_required,comments,consider_for_uniqueness
oshelp,oshelp_id,BIGINT,N/A,N/A,N/A,None,Primary key for OSHELP loan records - Auto generated,N
oshelp,uid21_student_loans_res_key,VARCHAR(10) NOT NULL,OSHELP,UID21_StudentLoansResKey,N/A,Direct mapping,None,Y
oshelp,course_admission_id,BIGINT NOT NULL,OSHELP,N/A,N/A,Foreign key lookup,Lookup course_admission_id from hep_course_admissions using uid15_course_admissions_res_key where is_current is true,N
oshelp,e527_help_debt_incurral_date,DATE NOT NULL,OSHELP,E527_HELPDebtIncurralDate,N/A,Date parsing MM/DD/YYYY,Parse DD/MM/YYYY format to DATE,Y
oshelp,e490_student_status_code,VARCHAR(3) NOT NULL,OSHELP,E490_StudentStatusCode,N/A,Direct mapping - Validate against CHECK constraint,Student status code (240/241/242),Y
oshelp,e521_study_period_commencement_date,DATE NOT NULL,OSHELP,E521_OSHELPStudyPeriodCommencementDate,N/A,Date parsing DD/MM/YYYY,Parse DD/MM/YYYY format to DATE,Y
oshelp,e553_study_primary_country_code,VARCHAR(4),OSHELP,E553_OSHELPStudyPrimaryCountryCode,N/A,NULL string conversion,Country code - convert 'NULL' string to actual NULL,Y
oshelp,e554_study_secondary_country_code,VARCHAR(4),OSHELP,E554_OSHELPStudySecondaryCountryCode,N/A,NULL string conversion,Secondary country code - convert 'NULL' string to actual NULL,Y
oshelp,e583_language_study_commencement_date,DATE,OSHELP,E583_OSHELPLanguageStudyCommencementDate,N/A,Date parsing and NULL handling,Parse DD/MM/YYYY format to DATE - convert 'NULL' string to actual NULL,Y
oshelp,e582_language_code,VARCHAR(4),OSHELP,E582_OSHELPLanguageCode,N/A,NULL string conversion,Language code - convert 'NULL' string to actual NULL,Y
oshelp,e528_payment_amount,"DECIMAL(10,2)' NOT NULL",OSHELP,E528_OSHELPPaymentAmount,N/A,Direct mapping - convert to decimal if string,OSHELP payment amount,Y
oshelp,e529_loan_fee,"DECIMAL(7,2)' NOT NULL",OSHELP,E529_LoanFee,N/A,Direct mapping - convert to decimal if string,OSHELP loan fee,Y
oshelp,a130_loan_status,VARCHAR(20),OSHELP,A130_LoanStatus,N/A,Direct mapping- Validate against CHECK constraint- NULL string conversion,OSHELP loan status,Y
oshelp,invalidated_flag,VARCHAR(1),OSHELP,Invalidated_Flag,N/A,Direct mapping,Invalidated flag (Y/N),Y
oshelp,updated_at,TIMESTAMP,System Generated,N/A,N/A,System timestamp,Automatically set to CURRENT_TIMESTAMP on insert/update,N
oshelp,is_current,BOOLEAN,System Generated,N/A,N/A,Default TRUE,Default to TRUE for current records,N
