db_table,column,data_type,csv_file_name,mapping_column,sample_data,transformation_required,comments,consider_for_uniqueness
unit_enrolments,unit_enrolment_id,BIGINT GENERATED ALWAYS AS IDENTITY,deidentified_1055_TCSI_DataExtract_20250708_11_HEP_units-AOUs_YYYY.csv,N/A - Auto Generated,N/A,None,Primary key auto-generated,N
unit_enrolments,course_admission_id,BIGINT NOT NULL,deidentified_1055_TCSI_DataExtract_20250708_11_HEP_units-AOUs_YYYY.csv,N/A,e9e34cf9e6be04b58eb9c48e83cfc79b5153831f709b123fe08db3c361f15847,Lookup via hep_course_admissions,Need to join with course_admissions table to get internal ID - Lookup course_admission_id from hep_course_admissions using uid15_course_admissions_res_key where is_current is true,N
unit_enrolments,uid16_unit_enrolments_res_key,VARCHAR(10) NOT NULL,deidentified_1055_TCSI_DataExtract_20250708_11_HEP_units-AOUs_YYYY.csv,UID16_UnitEnrolmentsResKey,3127161,None,Source primary key,Y
unit_enrolments,e354_unit_of_study_code,VARCHAR(12),deidentified_1055_TCSI_DataExtract_20250708_11_HEP_units-AOUs_YYYY.csv,E354_UnitOfStudyCode,10061,None,Unit code appears clean,Y
unit_enrolments,e489_unit_of_study_census_date,DATE,deidentified_1055_TCSI_DataExtract_20250708_11_HEP_units-AOUs_YYYY.csv,E489_UnitOfStudyCensusDate,3/31/2005,Parse DD-MM-YYYY to DATE,Date format appears correct,Y
unit_enrolments,e337_work_experience_in_industry_code,VARCHAR(1),deidentified_1055_TCSI_DataExtract_20250708_11_HEP_units-AOUs_YYYY.csv,E337_WorkExperienceInIndustryCode,NULL,Convert 'NULL' string to NULL,String 'NULL' should be converted to actual NULL value,Y
unit_enrolments,e551_summer_winter_school_code,VARCHAR(1),deidentified_1055_TCSI_DataExtract_20250708_11_HEP_units-AOUs_YYYY.csv,E551_SummerWinterSchoolCode,NULL,Convert 'NULL' string to NULL,String 'NULL' should be converted to actual NULL value,Y
unit_enrolments,e464_discipline_code,VARCHAR(6),deidentified_1055_TCSI_DataExtract_20250708_11_HEP_units-AOUs_YYYY.csv,E464_DisciplineCode,90300,None,Discipline code appears clean,Y
unit_enrolments,e355_unit_of_study_status_code,VARCHAR(1),deidentified_1055_TCSI_DataExtract_20250708_11_HEP_units-AOUs_YYYY.csv,E355_UnitOfStudyStatusCode,1,Validate against CHECK constraint,Must be one of: 1 2 3 4 5 6,Y
unit_enrolments,e329_mode_of_attendance_code,VARCHAR(1),deidentified_1055_TCSI_DataExtract_20250708_11_HEP_units-AOUs_YYYY.csv,E329_ModeOfAttendanceCode,1,Validate against CHECK constraint,Must be one of: 1 2 3 4 5 6 7,Y
unit_enrolments,e477_delivery_location_postcode,INTEGER,deidentified_1055_TCSI_DataExtract_20250708_11_HEP_units-AOUs_YYYY.csv,E477_DeliveryLocationPostcode,82921f169da1bb8741ee9aebbb333e77792113bc372cf579d8b4fd5489d18209,Validate against CHECK constraint - Convert to integer if string,integer postcode,Y
unit_enrolments,e660_delivery_location_country_code,VARCHAR(4),deidentified_1055_TCSI_DataExtract_20250708_11_HEP_units-AOUs_YYYY.csv,E660_DeliveryLocationCountryCode,1101,Convert 'NULL' string to NULL,Country code appears clean,Y
unit_enrolments,e490_student_status_code,VARCHAR(3),deidentified_1055_TCSI_DataExtract_20250708_11_HEP_units-AOUs_YYYY.csv,E490_StudentStatusCode,261,Convert 'NULL' string to NULL,Status code appears clean,Y
unit_enrolments,e392_maximum_student_contribution_code,VARCHAR(1),deidentified_1055_TCSI_DataExtract_20250708_11_HEP_units-AOUs_YYYY.csv,E392_MaximumStudentContributionCode,0,Validate against CHECK constraint,Must be one of: 7 8 9 S,Y
unit_enrolments,e622_unitofstudyyearlongindicator,BOOLEAN,deidentified_1055_TCSI_DataExtract_20250708_11_HEP_units-AOUs_YYYY.csv,E622_UnitOfStudyYearLongIndicator,0,Convert 0/1 to FALSE/TRUE,0 â†’ FALSE and 1 â†’ TRUE conversion required,Y
unit_enrolments,e600_unit_of_study_commencement_date,DATE,deidentified_1055_TCSI_DataExtract_20250708_11_HEP_units-AOUs_YYYY.csv,E600_UnitOfStudyCommencementDate,NULL,Date parsing DD/MM/YYYY - Convert 'NULL' string and parse dates,String 'NULL' to NULL; parse date format when not NULL,Y
unit_enrolments,e601_unit_of_study_outcome_date,DATE,deidentified_1055_TCSI_DataExtract_20250708_11_HEP_units-AOUs_YYYY.csv,E601_UnitOfStudyOutcomeDate,NULL,Date parsing DD/MM/YYYY - Convert 'NULL' string and parse dates,String 'NULL' to NULL; parse date format when not NULL,Y
unit_enrolments,a111_is_deleted,BOOLEAN,deidentified_1055_TCSI_DataExtract_20250708_11_HEP_units-AOUs_YYYY.csv,UE.A111_IsDeleted,0,Convert 0/1 to FALSE/TRUE,0 â†’ FALSE and 1 â†’ TRUE conversion required,Y
unit_enrolments,reporting_year,INT NOT NULL,deidentified_1055_TCSI_DataExtract_20250708_11_HEP_units-AOUs_YYYY.csv,N/A - Derived from filename,2005,Extract from filename,Extract year from filename (e.g. 2005 from *_2005.csv),Y
unit_enrolments,updated_at,TIMESTAMP DEFAULT CURRENT_TIMESTAMP,deidentified_1055_TCSI_DataExtract_20250708_11_HEP_units-AOUs_YYYY.csv,N/A - System Generated,N/A,Set to CURRENT_TIMESTAMP,System field for audit trail,N
unit_enrolments,is_current,BOOLEAN DEFAULT TRUE,deidentified_1055_TCSI_DataExtract_20250708_11_HEP_units-AOUs_YYYY.csv,N/A - System Generated,N/A,Set to TRUE,System field for soft deletes,N
