"UID1_ProvidersResKey","E306_ProviderCode","E781_ProviderType","UID31_CampusCourseFeesResKey","UID4_CoursesOnCampusResKey","E525_CampusSuburb","E644_CampusCountryCode","E559_CampusPostcode","Campuses_E609_EffectiveFromDate","UID5_CoursesResKey","E307_CourseCode","E536_CourseFeesCode","E495_IndicativeStudentContributionCSP","E496_IndicativeTuitionFeeDomesticFP","E609_EffectiveFromDate"
35,1055,"HEP",18692,21588,"ALBANY",1101,"6330","01/01/1999",115764,"918501",0,"NULL","NULL","01/01/2021"
35,1055,"HEP",25915,37230,"BUNBURY",1101,"6230","01/01/1999",84346,"908501",0,"NULL","NULL","01/01/2014"
35,1055,"HEP",25972,37287,"CRAWLEY",1101,"6009","01/01/1999",59485,"906601",0,"NULL","NULL","01/01/2010"
35,1055,"HEP",25974,37289,"CRAWLEY",1101,"6009","01/01/1999",91325,"906702",0,"NULL","NULL","01/01/2015"
35,1055,"HEP",26000,37321,"CRAWLEY",1101,"6009","01/01/1999",12694,"906202",0,"NULL","NULL","01/01/2012"
35,1055,"HEP",26063,37387,"KALGOORLIE",1101,"6433","01/01/1999",12785,"901102",0,"NULL","NULL","01/01/2005"
35,1055,"HEP",26098,37421,"CRAWLEY",1101,"6009","01/01/1999",52316,"611602",0,"NULL","NULL","01/01/2005"
35,1055,"HEP",33214,39093,"CRAWLEY",1101,"6009","01/01/1999",129588,"315202",1,"4271.00","NULL","01/01/2021"
35,1055,"HEP",38457,39093,"CRAWLEY",1101,"6009","01/01/1999",129588,"315202",1,"3985.00","NULL","01/11/2021"
35,1055,"HEP",65459,39093,"CRAWLEY",1101,"6009","01/01/1999",129588,"315202",1,"4124.00","NULL","01/11/2022"
35,1055,"HEP",33298,39191,"CRAWLEY",1101,"6009","01/01/1999",117216,"BP0014",1,"11504.00","NULL","01/01/2021"
35,1055,"HEP",38466,39191,"CRAWLEY",1101,"6009","01/01/1999",117216,"BP0014",1,"11945.00","NULL","01/11/2021"
35,1055,"HEP",65464,39191,"CRAWLEY",1101,"6009","01/01/1999",117216,"BP0014",1,"12352.00","NULL","01/11/2022"
35,1055,"HEP",25871,37183,"CRAWLEY",1101,"6009","01/01/1999",58011,"423101",0,"NULL","NULL","01/01/2009"
35,1055,"HEP",25919,37234,"GERALDTON",1101,"6530","01/01/1999",75111,"912301",0,"NULL","NULL","01/01/2011"
35,1055,"HEP",25936,37251,"CRAWLEY",1101,"6009","01/01/1999",52605,"610201",0,"NULL","NULL","01/01/2005"
