"UID1_ProvidersResKey","E306_ProviderCode","E781_ProviderType","UID3_CoursesOfStudyResKey","E533_CourseOfStudyCode","UID5_CoursesResKey","E307_CourseCode","E394_CourseOfStudyName","UID48_CourseFieldsOfEducationResKey","E461_FieldOfEducationCode","E462_FieldOfEducationSupplementaryCode","E609_EffectiveFromDate","E610_EffectiveToDate"
35,1055,"HEP",25782,"00870",59800,"008701GL","Doctor of Philosophy (Joint/Double-Badged)",75482,61799,0,"01/01/2005","31/12/2006"
35,1055,"HEP",25782,"00870",59800,"008701GL","Doctor of Philosophy (Joint/Double-Badged)",75483,61799,0,"01/01/2007","NULL"
35,1055,"HEP",27039,"10750",65416,"107501","Master of Social Work - Research",81480,90501,0,"01/01/2005","31/12/2006"
35,1055,"HEP",27039,"10750",65416,"107501","Master of Social Work - Research",81481,90501,0,"01/01/2007","NULL"
35,1055,"HEP",21865,"71280",56910,"712801","Graduate Certificate in Rural Development Planning",72328,50900,0,"01/01/2005","31/12/2005"
35,1055,"HEP",21865,"71280",56910,"712801","Graduate Certificate in Rural Development Planning",72329,50900,0,"01/01/2006","NULL"
35,1055,"HEP",21871,"60210",57017,"602101","Bachelor of Engineering and Bachelor of Arts",72442,30000,90000,"01/01/2005","NULL"
35,1055,"HEP",17104,"70460",43395,"704602","Master of Landscape Management - Preliminary",55947,50901,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17104,"70460",43395,"704602","Master of Landscape Management - Preliminary",55948,50901,0,"01/01/2007","NULL"
35,1055,"HEP",17101,"70330",43438,"703301","Graduate Diploma in Science in Horticulture",56018,50301,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17101,"70330",43438,"703301","Graduate Diploma in Science in Horticulture",56019,50301,0,"01/01/2007","NULL"
35,1055,"HEP",17138,"30680",43581,"306801","Master of Education in Applied Linguistics - Cswk & Diss",56240,70100,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17138,"30680",43581,"306801","Master of Education in Applied Linguistics - Cswk & Diss",56241,70100,0,"01/01/2007","NULL"
