"UID1_ProvidersResKey","E306_ProviderCode","E781_ProviderType","UID3_CoursesOfStudyResKey","E533_CourseOfStudyCode","E394_CourseOfStudyName","E310_CourseOfStudyType","E350_CourseOfStudyLoad","E455_CombinedCourseOfStudyIndicator"
35,1055,"HEP",1462,"00020","Aboriginal Orientation Course",30,"1.0",0
35,1055,"HEP",1463,"00030","Aboriginal Pre-Law Programme",30,"0.3",0
35,1055,"HEP",1464,"00040","Aboriginal Pre-Medicine Programme",30,"0.3",0
35,1055,"HEP",1465,"00050","Cross Institutional (Albany)",41,"NULL",0
35,1055,"HEP",1466,"00090","Not for Degree (Study Abroad)",41,"0.0",0
35,1055,"HEP",1467,"0009P","Cross Institutional (Study Abroad) Postgraduate",42,"NULL",0
35,1055,"HEP",1468,"00410","Doctor of Philosophy - Preliminary",5,"1.0",0
35,1055,"HEP",1469,"0009U","Cross Institutional (Study Abroad) Undergraduate",41,"NULL",0
35,1055,"HEP",1470,"00800","Not for Degree (PhD)",42,"0.0",0
35,1055,"HEP",1471,"0080P","Cross Institutional (PhD)",42,"0.0",0
35,1055,"HEP",1472,"00830","Doctor of Philosophy",2,"4.0",0
35,1055,"HEP",1473,"1000N","Non-Award (Arts)",50,"0.0",0
35,1055,"HEP",1474,"1000P","Cross Institutional (Arts) Postgraduate",42,"NULL",0
35,1055,"HEP",1475,"10110","Bachelor of Arts",10,"3.0",0
35,1055,"HEP",1476,"1011H","Bachelor of Arts (Honours)",9,"1.0",0
35,1055,"HEP",1477,"10120","Bachelor of Music",10,"4.0",0
35,1055,"HEP",1478,"10140","Bachelor of Psychology",8,"1.0",0
35,1055,"HEP",1479,"10150","Bachelor of Social Work - Postgraduate",8,"2.1",0
35,1055,"HEP",1480,"10170","Bachelor of Letters",8,"2.0",0
35,1055,"HEP",1481,"1017H","Bachelor of Letters (Honours)",8,"1.0",0
35,1055,"HEP",1482,"10200","Bachelor of Arts (Asian Studies)",10,"3.0",0
35,1055,"HEP",1483,"1020H","Bachelor of Arts (Asian Studies) (Honours)",9,"1.0",0
35,1055,"HEP",1484,"1021H","Bachelor of Arts (European Studies) (Honours)",9,"1.0",0
35,1055,"HEP",1485,"10210","Bachelor of Arts (European Studies)",10,"3.0",0
35,1055,"HEP",1486,"1024H","Bachelor of Social Work - Undergraduate (Four Year) (Honours)",9,"1.0",0
35,1055,"HEP",1487,"10240","Bachelor of Social Work - Undergraduate (Four Year)",10,"4.0",0
35,1055,"HEP",1488,"10280","Graduate Certificate in Music Education",11,"0.5",0
35,1055,"HEP",1489,"10370","Graduate Diploma in Advanced Social Work",7,"1.0",0
35,1055,"HEP",1490,"10380","Graduate Diploma in Music Education",6,"1.0",0
35,1055,"HEP",1491,"10490","Higher Degree by Research Preliminary - Arts",5,"1.0",0
35,1055,"HEP",1492,"10410","Master of Arts - Preliminary",5,"1.0",0
35,1055,"HEP",1493,"10710","Master of Arts - Research",3,"2.0",0
35,1055,"HEP",1494,"10720","Master of Music - Research",3,"2.0",0
35,1055,"HEP",1495,"10730","Master of Music Education - Research",3,"2.0",0
35,1055,"HEP",1496,"10740","Master of Philosophy - Research",3,"2.0",0
35,1055,"HEP",1497,"20540","Master of Banking and Finance Law",4,"1.0",0
35,1055,"HEP",1498,"20920","Doctor of Laws",1,"NULL",0
35,1055,"HEP",1499,"20810","Doctor of Juridical Science",2,"4.0",0
35,1055,"HEP",1500,"20720","Master of Laws - Research",3,"2.0",0
35,1055,"HEP",1501,"20710","Master of Criminal Justice - Research",3,"2.0",0
35,1055,"HEP",1502,"20560","Master of Commercial and Resources Law",4,"1.0",0
35,1055,"HEP",1503,"20520","Master of Laws - Coursework",4,"1.0",0
35,1055,"HEP",1504,"20530","Master of Taxation Studies - Coursework",4,"1.0",0
35,1055,"HEP",1505,"20360","Graduate Diploma in Commercial and Resources Law",6,"0.5",0
35,1055,"HEP",1506,"20420","Master of Laws - Preliminary",5,"1.0",0
35,1055,"HEP",1507,"20490","Higher Degree by Research Preliminary - Law",5,"1.0",0
35,1055,"HEP",1508,"20350","Graduate Diploma in Legal Practice",7,"1.0",0
35,1055,"HEP",1509,"20510","Master of Criminal Justice - Coursework",4,"1.0",0
35,1055,"HEP",1510,"20340","Graduate Diploma in Banking and Finance Law",6,"1.0",0
35,1055,"HEP",1511,"20330","Graduate Diploma in Taxation Studies",6,"1.0",0
35,1055,"HEP",1512,"20320","Graduate Diploma in Law",7,"1.0",0
35,1055,"HEP",1513,"20310","Graduate Diploma in Criminal Justice",6,"0.5",0
35,1055,"HEP",1514,"20130","Bachelor of Laws - Undergraduate",10,"4.0",0
35,1055,"HEP",1515,"20140","Bachelor of Laws - Graduate",8,"3.0",0
35,1055,"HEP",1516,"20040","Law Bridging Programme (Not for degree)",50,"0.0",0
35,1055,"HEP",1517,"11630","Master of Arts in Australian Literary Studies",4,"2.0",0
35,1055,"HEP",1518,"20020","Not for Degree (Law), Postgraduate",42,"0.0",0
35,1055,"HEP",1519,"2000P","Cross Institutional (Law) Postgraduate",42,"NULL",0
35,1055,"HEP",1520,"2000U","Cross Institutional (Law) Undergraduate",41,"NULL",0
35,1055,"HEP",1521,"2000N","Non-Award (Law)",50,"0.0",0
35,1055,"HEP",1522,"11520","Master of Applied Maritime Archaeology",4,"1.5",0
35,1055,"HEP",1523,"11510","Master of Arts - Coursework",4,"1.0",0
35,1055,"HEP",1524,"11290","Graduate Certificate in Modern Languages",11,"0.5",0
35,1055,"HEP",1525,"11500","Master of Communication Studies (Coursework)",4,"1.5",0
35,1055,"HEP",1526,"11390","Graduate Diploma in Modern Languages",6,"1.0",0
35,1055,"HEP",1527,"11350","Graduate Certificate in Arts (2nd Degree)",11,"0.5",0
35,1055,"HEP",1528,"11320","Graduate Diploma in Applied Maritime Archaeology",7,"1.0",0
35,1055,"HEP",1529,"11330","Graduate Diploma in Australian Literary Studies",7,"1.0",0
35,1055,"HEP",1530,"11310","Graduate Diploma in Applied Anthropology",6,"1.0",0
35,1055,"HEP",1531,"11300","Graduate Diploma in Communication Studies",6,"1.0",0
35,1055,"HEP",1532,"11270","Graduate Certificate in Social Work",11,"0.5",0
35,1055,"HEP",1533,"11230","Graduate Certificate in Australian Literary Studies",11,"0.5",0
35,1055,"HEP",1534,"11200","Graduate Certificate in Communication Studies",11,"0.5",0
35,1055,"HEP",1535,"11250","Graduate Certificate in Arts",11,"0.5",0
35,1055,"HEP",1536,"11210","Graduate Certificate in Applied Anthropology",11,"0.5",0
35,1055,"HEP",1537,"10760","Master of Arts - Research",3,"2.0",0
35,1055,"HEP",1538,"10910","Doctor of Letters",1,"0.0",0
35,1055,"HEP",1539,"10920","Doctor of Music",1,"0.0",0
35,1055,"HEP",1540,"10930","Doctor of Arts",2,"4.0",0
35,1055,"HEP",1541,"10970","Doctor of Social Work",2,"4.0",0
35,1055,"HEP",1542,"1112H","Bachelor of Musical Arts (Honours)",9,"1.0",0
35,1055,"HEP",1543,"11120","Bachelor of Musical Arts",10,"3.0",0
35,1055,"HEP",1544,"1110H","Bachelor of Arts (Communication Studies) (Honours)",9,"1.0",0
35,1055,"HEP",1545,"11100","Bachelor of Arts (Communication Studies)",10,"3.0",0
35,1055,"HEP",1546,"11050","Graduate Diploma in Arts (Advanced)",7,"1.0",0
35,1055,"HEP",1547,"25720","Master of Building Science - Research",3,"2.0",0
35,1055,"HEP",1548,"25710","Master of Architecture - Research",3,"2.0",0
35,1055,"HEP",1549,"25490","Higher Degree by Research Preliminary - Architecture, Landscape and Visual Arts",5,"1.0",0
35,1055,"HEP",1550,"25020","Not for Degree (Architecture), Postgraduate",42,"0.0",0
35,1055,"HEP",1551,"2515H","Bachelor of Fine Arts (Honours)",9,"1.0",0
35,1055,"HEP",1552,"25150","Bachelor of Fine Arts",10,"3.0",0
35,1055,"HEP",1553,"25140","Bachelor of Landscape Architecture",10,"4.0",0
