"UID1_ProvidersResKey","E306_ProviderCode","E781_ProviderType","UID3_CoursesOfStudyResKey","E533_CourseOfStudyCode","E394_CourseOfStudyName","UID5_CoursesResKey","E307_CourseCode","E308_CourseName","E596_StandardCourseDuration","E609_EffectiveFromDate","E610_EffectiveToDate"
35,1055,"HEP",1462,"00020","Aboriginal Orientation Course",8849,"000201","Aboriginal Orientation Course","NULL","01/01/2005","NULL"
35,1055,"HEP",1463,"00030","Aboriginal Pre-Law Programme",8949,"000302","Aboriginal Pre-Law Programme","0.300","01/01/2005","NULL"
35,1055,"HEP",1463,"00030","Aboriginal Pre-Law Programme",8973,"000301","Aboriginal Pre-Law Programme","NULL","01/01/2005","NULL"
35,1055,"HEP",1464,"00040","Aboriginal Pre-Medicine Programme",8923,"000401","Aboriginal Pre-Medicine Programme","NULL","01/01/2005","NULL"
35,1055,"HEP",1464,"00040","Aboriginal Pre-Medicine Programme",8700,"000402","Aboriginal Pre-Medicine Programme","0.300","01/01/2005","NULL"
35,1055,"HEP",1466,"00090","Not for Degree (Study Abroad)",8950,"000902","Not for Degree (Study Abroad)","NULL","01/01/2005","NULL"
35,1055,"HEP",1466,"00090","Not for Degree (Study Abroad)",8974,"000901","Not for Degree (Study Abroad)","0.000","01/01/2005","NULL"
35,1055,"HEP",1468,"00410","Doctor of Philosophy - Preliminary",8975,"004101CL","Doctor of Philosophy - Preliminary [E&C - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1468,"00410","Doctor of Philosophy - Preliminary",8976,"004101GH","Doctor of Philosophy - Preliminary [L&PS - H]","NULL","01/01/2005","NULL"
35,1055,"HEP",1468,"00410","Doctor of Philosophy - Preliminary",8981,"004101IL","Doctor of Philosophy - Preliminary [N&AS - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1468,"00410","Doctor of Philosophy - Preliminary",8982,"004102DL","Doctor of Philosophy - Preliminary [Educ - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1468,"00410","Doctor of Philosophy - Preliminary",8983,"004102HH","Doctor of Philosophy - Preliminary [M&D - H]","NULL","01/01/2005","NULL"
35,1055,"HEP",1468,"00410","Doctor of Philosophy - Preliminary",8951,"004101DH","Doctor of Philosophy - Preliminary [Educ - H]","NULL","01/01/2005","NULL"
35,1055,"HEP",1468,"00410","Doctor of Philosophy - Preliminary",8952,"004101GL","Doctor of Philosophy - Preliminary [L&PS - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1468,"00410","Doctor of Philosophy - Preliminary",8957,"004102","Doctor of Philosophy - Preliminary","1.000","01/01/2005","NULL"
35,1055,"HEP",1468,"00410","Doctor of Philosophy - Preliminary",8958,"004102EH","Doctor of Philosophy - Preliminary [EC&M - H]","NULL","01/01/2005","NULL"
35,1055,"HEP",1468,"00410","Doctor of Philosophy - Preliminary",8959,"004102HL","Doctor of Philosophy - Preliminary [M&D - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1468,"00410","Doctor of Philosophy - Preliminary",8925,"004101DL","Doctor of Philosophy - Preliminary [Educ - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1468,"00410","Doctor of Philosophy - Preliminary",8926,"004101HH","Doctor of Philosophy - Preliminary [M&D - H]","NULL","01/01/2005","NULL"
35,1055,"HEP",1468,"00410","Doctor of Philosophy - Preliminary",8931,"004102AL","Doctor of Philosophy - Preliminary [ALVA - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1468,"00410","Doctor of Philosophy - Preliminary",8932,"004102EL","Doctor of Philosophy - Preliminary [EC&M - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1468,"00410","Doctor of Philosophy - Preliminary",8933,"004102IH","Doctor of Philosophy - Preliminary [N&AS - H]","NULL","01/01/2005","NULL"
35,1055,"HEP",1468,"00410","Doctor of Philosophy - Preliminary",8701,"004101","Doctor of Philosophy - Preliminary","1.000","01/01/2005","NULL"
35,1055,"HEP",1468,"00410","Doctor of Philosophy - Preliminary",8702,"004101EH","Doctor of Philosophy - Preliminary [EC&M - H]","NULL","01/01/2005","NULL"
35,1055,"HEP",1468,"00410","Doctor of Philosophy - Preliminary",8708,"004102BL","Doctor of Philosophy - Preliminary [AHSS - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1468,"00410","Doctor of Philosophy - Preliminary",8709,"004102FL","Doctor of Philosophy - Preliminary [Law - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1468,"00410","Doctor of Philosophy - Preliminary",8710,"004102IL","Doctor of Philosophy - Preliminary [N&AS - L]","NULL","01/01/2005","NULL"
