"UID1_ProvidersResKey","E306_ProviderCode","E781_ProviderType","UID2_CampusesResKey","E525_CampusSuburb","E644_CampusCountryCode","E559_CampusPostcode","Campuses_E609_EffectiveFromDate","Campuses_E610_EffectiveToDate","UID4_CoursesOnCampusResKey","UID5_CoursesResKey","E307_CourseCode","E597_CRICOSCode","E569_CampusOperationType","E570_PrincipalOffshoreDeliveryMode","E571_OffshoreDeliveryCode","E609_EffectiveFromDate","E610_EffectiveToDate"
35,1055,"HEP",2370,"GERALDTON",1101,"6530","01/01/1999","NULL","37274","115764","918501","089788A","NULL","NULL","NULL","01/01/2021","NULL"
35,1055,"HEP",2370,"GERALDTON",1101,"6530","01/01/1999","NULL","37306","84346","908501","089788A","NULL","NULL","NULL","01/01/2014","NULL"
35,1055,"HEP",2374,"KUNUNURRA",1101,"6743","01/01/1999","NULL","37320","115764","918501","089788A","NULL","NULL","NULL","01/01/2021","NULL"
35,1055,"HEP",2374,"KUNUNURRA",1101,"6743","01/01/1999","NULL","37329","84346","908501","089788A","NULL","NULL","NULL","01/01/2014","NULL"
35,1055,"HEP",2366,"CARNARVON",1101,"6701","01/01/1999","NULL","37261","115764","918501","089788A","NULL","NULL","NULL","01/01/2021","NULL"
35,1055,"HEP",2366,"CARNARVON",1101,"6701","01/01/1999","NULL","37323","84346","908501","089788A","NULL","NULL","NULL","01/01/2014","NULL"
35,1055,"HEP",2038,"ALBANY",1101,"6330","01/01/1999","NULL","21586","84346","908501","089788A","NULL","NULL","NULL","01/01/2014","NULL"
35,1055,"HEP",2038,"ALBANY",1101,"6330","01/01/1999","NULL","21588","115764","918501","089788A","NULL","NULL","NULL","01/01/2021","NULL"
35,1055,"HEP",2372,"KALGOORLIE",1101,"6433","01/01/1999","NULL","37281","115764","918501","089788A","NULL","NULL","NULL","01/01/2021","NULL"
35,1055,"HEP",2372,"KALGOORLIE",1101,"6433","01/01/1999","NULL","37327","84346","908501","089788A","NULL","NULL","NULL","01/01/2014","NULL"
35,1055,"HEP",2376,"NARROGIN",1101,"6312","01/01/1999","NULL","37278","115764","918501","089788A","NULL","NULL","NULL","01/01/2021","NULL"
35,1055,"HEP",2376,"NARROGIN",1101,"6312","01/01/1999","NULL","37339","84346","908501","089788A","NULL","NULL","NULL","01/01/2014","NULL"
35,1055,"HEP",2364,"BUNBURY",1101,"6230","01/01/1999","NULL","37230","84346","908501","089788A","NULL","NULL","NULL","01/01/2014","NULL"
35,1055,"HEP",2370,"GERALDTON",1101,"6530","01/01/1999","NULL","37416","12785","901102","002220E","NULL","NULL","NULL","01/01/2005","NULL"
35,1055,"HEP",2374,"KUNUNURRA",1101,"6743","01/01/1999","NULL","37380","12785","901102","002220E","NULL","NULL","NULL","01/01/2005","NULL"
35,1055,"HEP",2366,"CARNARVON",1101,"6701","01/01/1999","NULL","37406","12785","901102","002220E","NULL","NULL","NULL","01/01/2005","NULL"
35,1055,"HEP",2376,"NARROGIN",1101,"6312","01/01/1999","NULL","37444","12785","901102","002220E","NULL","NULL","NULL","01/01/2005","NULL"
35,1055,"HEP",2038,"ALBANY",1101,"6330","01/01/1999","NULL","21596","129618","CU0042","NULL","NULL","NULL","NULL","01/01/2021","NULL"
35,1055,"HEP",2038,"ALBANY",1101,"6330","01/01/1999","NULL","39094","129588","315202","077502G","NULL","NULL","NULL","01/01/2021","NULL"
35,1055,"HEP",2372,"KALGOORLIE",1101,"6433","01/01/1999","NULL","37387","12785","901102","002220E","NULL","NULL","NULL","01/01/2005","NULL"
35,1055,"HEP",2038,"ALBANY",1101,"6330","01/01/1999","NULL","37397","12785","901102","002220E","NULL","NULL","NULL","01/01/2005","NULL"
35,1055,"HEP",2038,"ALBANY",1101,"6330","01/01/1999","NULL","42145","106422","DU0211","NULL","NULL","NULL","NULL","01/01/2018","NULL"
35,1055,"HEP",2364,"BUNBURY",1101,"6230","01/01/1999","NULL","37419","12785","901102","002220E","NULL","NULL","NULL","01/01/2005","NULL"
35,1055,"HEP",2379,"SINGAPORE BUSINESS",5205,"NULL","01/01/1999","NULL","37328","130373","425202","046894K","02","01","02","01/07/2021","NULL"
35,1055,"HEP",2373,"KARRATHA",1101,"6714","01/01/1999","NULL","37393","12785","901102","002220E","NULL","NULL","NULL","01/01/2005","NULL"
35,1055,"HEP",2382,"SOUTH HEDLAND",1101,"6722","01/01/1999","NULL","37424","12785","901102","002220E","NULL","NULL","NULL","01/01/2005","NULL"
