"UID1_ProvidersResKey","E306_ProviderCode","E781_ProviderType","UID3_CoursesOfStudyResKey","E533_CourseOfStudyCode","E394_CourseOfStudyName","UID5_CoursesResKey","E307_CourseCode","E308_CourseName","UID30_SpecialInterestCoursesResKey","E312_SpecialCourseType","E609_EffectiveFromDate","E610_EffectiveToDate"
35,1055,"HEP",1574,"30340","Graduate Diploma in Education",10070,"303401","Graduate Diploma in Education",7841,22,"01/01/2005","31/12/2007"
35,1055,"HEP",1574,"30340","Graduate Diploma in Education",10070,"303401","Graduate Diploma in Education",7835,22,"01/01/2009","NULL"
35,1055,"HEP",1574,"30340","Graduate Diploma in Education",10267,"303101","Graduate Diploma in Education",3831,22,"01/01/2005","31/12/2006"
35,1055,"HEP",1574,"30340","Graduate Diploma in Education",10267,"303101","Graduate Diploma in Education",954,22,"01/01/2009","31/12/2009"
35,1055,"HEP",1574,"30340","Graduate Diploma in Education",10267,"303101","Graduate Diploma in Education",1491,22,"01/01/2019","31/12/2019"
35,1055,"HEP",1594,"31400","Graduate Diploma in Education",10326,"313401","Graduate Diploma in Education",7829,22,"01/01/2005","31/12/2005"
35,1055,"HEP",1594,"31400","Graduate Diploma in Education",10326,"313401","Graduate Diploma in Education",7856,22,"01/01/2007","31/12/2007"
35,1055,"HEP",1594,"31400","Graduate Diploma in Education",10326,"313401","Graduate Diploma in Education",7839,22,"01/01/2009","NULL"
35,1055,"HEP",1594,"31400","Graduate Diploma in Education",10354,"314002","Graduate Diploma in Education",7837,22,"01/01/2005","NULL"
35,1055,"HEP",1594,"31400","Graduate Diploma in Education",10532,"313402","Graduate Diploma in Education",7838,22,"01/01/2005","31/12/2007"
35,1055,"HEP",1594,"31400","Graduate Diploma in Education",10532,"313402","Graduate Diploma in Education",7873,22,"01/01/2009","NULL"
35,1055,"HEP",1668,"50560","Master of Psychology - Coursework",10912,"525602","Master of Psychology - Coursework",7819,27,"01/01/2013","NULL"
35,1055,"HEP",1668,"50560","Master of Psychology - Coursework",11034,"525601","Master of Psychology - Coursework",7828,27,"01/01/2008","NULL"
35,1055,"HEP",1770,"90110","Bachelor of Medicine and Bachelor of Surgery",12602,"901101","Bachelor of Medicine and Bachelor of Surgery",7833,23,"01/01/2005","NULL"
35,1055,"HEP",1770,"90110","Bachelor of Medicine and Bachelor of Surgery",12785,"901102","Bachelor of Medicine and Bachelor of Surgery",7863,23,"01/01/2005","NULL"
35,1055,"HEP",17338,"1026H","Bachelor of Music / Bachelor of Education Honours",44910,"1026H1","Bachelor of Music / Bachelor of Education Honours",446,22,"01/01/2005","31/12/2005"
35,1055,"HEP",18626,"31330","Graduate Diploma in Education (School Music)",46587,"313301","Graduate Diploma in Education (School Music)",7865,22,"01/01/2006","NULL"
35,1055,"HEP",18644,"90170","Bachelor of Medical Science and Bachelor of Medicine & Bachelor of Surge",46770,"901701","Bachelor of Medical Science and Bachelor of Medicine & Bachelor of Surge",7879,23,"01/01/2007","NULL"
35,1055,"HEP",19517,"51543","Master of Psychology and Graduate Diploma in Education",66266,"515403","Master of Psychology and Graduate Diploma in Education",7831,22,"01/01/2007","NULL"
35,1055,"HEP",20196,"11130","Bachelor of Arts and Bachelor of Education",52228,"111302","Bachelor of Arts and Bachelor of Education",7824,22,"01/01/2005","NULL"
35,1055,"HEP",20196,"11130","Bachelor of Arts and Bachelor of Education",52272,"111301","Bachelor of Arts and Bachelor of Education",7840,22,"01/01/2005","NULL"
35,1055,"HEP",20210,"90150","MBBS and Doctor of Philosophy - Coursework",52335,"901501","MBBS and Doctor of Philosophy - Coursework",461,23,"01/01/2005","31/12/2005"
35,1055,"HEP",20210,"90150","MBBS and Doctor of Philosophy - Coursework",52335,"901501","MBBS and Doctor of Philosophy - Coursework",1267,23,"01/01/2007","31/12/2007"
35,1055,"HEP",20210,"90150","MBBS and Doctor of Philosophy - Coursework",52335,"901501","MBBS and Doctor of Philosophy - Coursework",2064,23,"01/01/2009","31/12/2009"
35,1055,"HEP",20210,"90150","MBBS and Doctor of Philosophy - Coursework",52603,"901502","MBBS and Doctor of Philosophy - Coursework",7817,23,"01/01/2005","NULL"
35,1055,"HEP",20234,"51540","Master of Psychology and Graduate Diploma in Education",52634,"515401","Master of Psychology and Graduate Diploma in Education",479,22,"01/01/2005","31/12/2005"
35,1055,"HEP",20234,"51540","Master of Psychology and Graduate Diploma in Education",52634,"515401","Master of Psychology and Graduate Diploma in Education",323,22,"01/01/2007","31/12/2007"
35,1055,"HEP",20234,"51540","Master of Psychology and Graduate Diploma in Education",52634,"515401","Master of Psychology and Graduate Diploma in Education",410,22,"01/01/2009","31/12/2009"
35,1055,"HEP",20234,"51540","Master of Psychology and Graduate Diploma in Education",52533,"515402","Master of Psychology and Graduate Diploma in Education",7878,22,"01/01/2005","NULL"
35,1055,"HEP",20236,"51180","Bachelor of Science and Bachelor of Education",52534,"511803","Bachelor of Science and Bachelor of Education",7852,22,"01/01/2013","NULL"
35,1055,"HEP",20236,"51180","Bachelor of Science and Bachelor of Education",52635,"511802","Bachelor of Science and Bachelor of Education",7862,22,"01/01/2005","NULL"
35,1055,"HEP",20236,"51180","Bachelor of Science and Bachelor of Education",52503,"511801","Bachelor of Science and Bachelor of Education",7843,22,"01/01/2005","31/12/2007"
35,1055,"HEP",20236,"51180","Bachelor of Science and Bachelor of Education",52503,"511801","Bachelor of Science and Bachelor of Education",7867,22,"01/01/2009","NULL"
