db_table,column,data_type,csv_file_name,mapping_column,sample_data,transformation_required,comments,consider_for_uniqueness
hep_course_admissions,course_admission_id,BIGINT GENERATED ALWAYS AS IDENTITY,N/A,N/A - Auto Generated,N/A,None,Primary key auto-generated,N
hep_course_admissions,student_id,BIGINT NOT NULL,deidentified_1055_tcsi_DataExtract_20250708_11_HEPCourseAdmissions.csv,N/A,4bdd6657e8a65a5526b1cae8b334470859ce9982cbddb3b86f69bae10c0797f9,Lookup via hep_students,Need to join with students table to get internal student_id - Lookup student_id from hep_students using UID8_StudentsResKey where is_current is true,N
hep_course_admissions,uid15_course_admissions_res_key,VARCHAR(10) NOT NULL,deidentified_1055_tcsi_DataExtract_20250708_11_HEPCourseAdmissions.csv,UID15_CourseAdmissionsResKey,a236dc5baa1c9ef75d0a640d96963ee11bbf1ee0a22444dd326f9744d30ea788,None,Source primary key,Y
hep_course_admissions,uid5_courses_res_key,VARCHAR(10) NOT NULL,deidentified_1055_tcsi_DataExtract_20250708_11_HEPCourseAdmissions.csv,UID5_CoursesResKey,8725,Lookup via hep_courses,Need to join with courses table to get courses foreign key,Y
hep_course_admissions,e599_courseoutcomecode,VARCHAR(1),deidentified_1055_tcsi_DataExtract_20250708_11_HEPCourseAdmissions.csv,E599_CourseOutcomeCode,2,Validate against CHECK constraint,Must be one of: 1 2 3 4 5 6 7,Y
hep_course_admissions,e592_courseoutcomedate,DATE,deidentified_1055_tcsi_DataExtract_20250708_11_HEPCourseAdmissions.csv,E592_CourseOutcomeDate,NULL,Date parsing and NULL handling,String 'NULL' to NULL; Parse DD/MM/YYYY format to DATE when not NULL,Y
hep_course_admissions,e534_course_of_study_commencement_date,DATE NOT NULL,deidentified_1055_tcsi_DataExtract_20250708_11_HEPCourseAdmissions.csv,E534_CourseOfStudyCommencementDate,2/1/2009,Parse DD/MM/YYYY to DATE,Date format appears correct,Y
hep_course_admissions,e330_attendance_type_code,VARCHAR(1),deidentified_1055_tcsi_DataExtract_20250708_11_HEPCourseAdmissions.csv,E330_AttendanceTypeCode,NULL,Convert 'NULL' string to NULL,String 'NULL' should be converted to actual NULL value,Y
hep_course_admissions,e591_hdr_thesis_submission_date,DATE,deidentified_1055_tcsi_DataExtract_20250708_11_HEPCourseAdmissions.csv,E591_HDRThesisSubmissionDate,NULL,Convert 'NULL' string and parse dates,String 'NULL' to NULL; parse date format when not NULL,Y
hep_course_admissions,e632_atar,"DECIMAL(4,2)'",deidentified_1055_tcsi_DataExtract_20250708_11_HEPCourseAdmissions.csv,E632_ATAR,NULL,Convert 'NULL' string and parse decimals,String 'NULL' to NULL; parse decimal when not NULL,Y
hep_course_admissions,e605_selection_rank,"DECIMAL(4,2)'",deidentified_1055_tcsi_DataExtract_20250708_11_HEPCourseAdmissions.csv,E605_SelectionRank,NULL,Convert 'NULL' string and parse decimals,String 'NULL' to NULL; parse decimal when not NULL,Y
hep_course_admissions,e620_highest_attainment_code,VARCHAR(3),deidentified_1055_tcsi_DataExtract_20250708_11_HEPCourseAdmissions.csv,E620_HighestAttainmentCode,NULL,Convert 'NULL' string to NULL,String 'NULL' should be converted to actual NULL value,Y
hep_course_admissions,e594_hdr_primary_field_of_research_code,VARCHAR(4),deidentified_1055_tcsi_DataExtract_20250708_11_HEPCourseAdmissions.csv,E594_HDRPrimaryFieldOfResearchCode,NULL,Convert 'NULL' string to NULL,String 'NULL' should be converted to actual NULL value,Y
hep_course_admissions,e595_hdr_secondary_field_of_research_code,VARCHAR(4),deidentified_1055_tcsi_DataExtract_20250708_11_HEPCourseAdmissions.csv,E595_HDRSecondaryFieldOfResearchCode,NULL,Convert 'NULL' string to NULL,String 'NULL' should be converted to actual NULL value,Y
hep_course_admissions,updated_at,TIMESTAMP DEFAULT CURRENT_TIMESTAMP,deidentified_1055_tcsi_DataExtract_20250708_11_HEPCourseAdmissions.csv,N/A - System Generated,N/A,Set to CURRENT_TIMESTAMP,System field for audit trail,N
hep_course_admissions,is_current,BOOLEAN DEFAULT TRUE,deidentified_1055_tcsi_DataExtract_20250708_11_HEPCourseAdmissions.csv,N/A - System Generated,N/A,Set to TRUE,System field for soft deletes,N
